year,districtid,districtnumber,nces_lea,name,county,expectedtotest_n,metMATH_n,metMATH_pct,metMATH_Level1_pct,metMATH_Level2_pct,metMATH_Level3_pct,metMATH_Level4_pct,testedonly_metMATH_pct,noscore_MATH_pct,metELA_n,metELA_pct,metELA_Level1_pct,metELA_Level2_pct,metELA_Level3_pct,metELA_Level4_pct,testedonly_metELA_pct,noscore_ELA_pct,meantotalsalary,meancertbasesalary,meanexperience,enrollment,totalrev,tfedrev,tstaterev,c01,c05,c07,c08,c10,tlocalrev,t06,totalexp,tinstruction,tsupport,tcapex,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,tsalaries,tsalariesinstruction,meantotalsalary_cpi_adjusted,meancertbasesalary_cpi_adjusted,totalrev_cpi_adjusted,tfedrev_cpi_adjusted,tstaterev_cpi_adjusted,c01_cpi_adjusted,c05_cpi_adjusted,c07_cpi_adjusted,c08_cpi_adjusted,c10_cpi_adjusted,tlocalrev_cpi_adjusted,t06_cpi_adjusted,totalexp_cpi_adjusted,tinstruction_cpi_adjusted,tsupport_cpi_adjusted,tcapex_cpi_adjusted,tsalaries_cpi_adjusted,tsalariesinstruction_cpi_adjusted
2023,1109,100287,5309570,Washtucna School District,Adams,13,3,0.23100000619888306,0.6153846153846,0.076923076923,0.2307692307692,0,0.25,0.076923076923,5,0.38499999046325684,0.3076923076923,0.1538461538461,0.2307692307692,0.1538461538461,0.4545454545454,0.1538461538461,79402.76923076923,75647.46153846153,15.246153758122372,73,2907000,195000,2434000,2021000,107000,0,2000,2000,278000,148000,2834000,1589000,1090000,11000,0.5068493150684932,0.0273972602739726,0.0410958904109589,0.0547945205479452,0.863013698630137,0,0,0.7534246575342466,0.0136986301369863,0.1917808219178082,1421000,971000,61760.45284273033,58839.52822149133,2261100.4396084053,151673.404101699,1893195.2081206944,1571958.7163565834,83225.91917375279,0,1555.6246574533234,1555.6246574533234,216231.82738601195,115116.22465154593,2204320.139611359,1235943.7903466653,847815.4383120612,8555.935615993278,1105271.3191205862,755255.7711935885
2024,1109,100287,5309570,Washtucna School District,Adams,,,,,,,,,,,,,,,,,,86085.08333333333,80347.66666666667,16.79166654745738,66,2857252,129291,2463183,2056609.17,124208.56,0,1973.97,3105.45,264777,154819.42,2926075,1425065,1222784,74069,0.5316455696202531,0,0.06329113924050633,0.0379746835443038,0.8860759493670886,0,0,0.759493670886076,0.02531645569620253,0.21518987341772153,1484981,988505.75,65038.044741189646,60703.37551143908,2158679.253330032,97680.4983747647,1860956.6251962476,1553786.4869767516,93840.6698317119,0,1491.3518603524938,2346.195045888059,200041.37425014173,116967.44633185618,2210675.640856205,1076649.2595496522,923824.1681531451,55959.78710134849,1121916.3294974628,746824.8703028096
2025,1109,100287,5309570,Washtucna School District,Adams,,,,,,,,,,,,,,,,,,89854.23076923077,84352.53846153847,16.492307692307694,61,2860119,101206,2519570,2134990.17,132984.98,0,1841.42,4200.24,239342,149541.92,2940519,1476491,1212265,166036,0.5070422535211268,0,0.11267605633802817,0.04225352112676056,0.8450704225352113,0,0.22535211267605634,0.7464788732394366,0.014084507042253521,0.22535211267605634,1585489,1072380.5,66143.25898781558,62093.36777998193,2105383.242763825,74499.49336623953,1854699.212504952,1571603.323981796,97892.55217397683,0,1355.5012259595362,3091.8695731143803,176183.80077527525,110080.40310865684,2164567.078372837,1086870.654504796,892369.30938506,122221.9817061928,1167105.9743270732,789397.900775
2016,1147,100192,5306480,Othello School District,Adams,339,118,0.397,0.3535353535353,0.2356902356902,0.2121212121212,0.1851851851851,0.4027303754266,0.013468013468,127,0.428,0.2760942760942,0.2895622895622,0.3198653198653,0.1077441077441,0.4305084745762,0.006734006734,44773.39,27572.61,6.091569,4281,49459000,4958000,38006000,24796000,4239000,1705000,40000,54000,6495000,5061000,45390000,23569000,16166000,2137000,0.47957087422962796,9.130335539831089e-4,0.8860990641406071,0.0038803926044282126,0.10705318420451952,0.39716959598265233,0.015749828806208628,0.8363387354485278,0.015293312029217073,0.13079205660808035,24283000,15331000,44213.051233631886,27227.538914854358,48840020.84640451,4895950.653197063,37530355.0878192,24485678.176013388,4185948.9348330684,1683661.9329772072,39499.40018714855,53324.19025265055,6413715.1053882465,4997661.6086789705,44821944.362366825,23274034.07527261,15963682.58563609,2110255.4549984117,23979098.36861321,15139132.606729362
2018,1147,100192,5306480,Othello School District,Adams,404,85,0.289,0.5204081632653,0.1700680272108,0.1700680272108,0.1190476190476,0.2951388888888,0.0204081632653,95,0.323,0.3843537414965,0.2721088435374,0.2551020408163,0.0680272108843,0.3298611111111,0.0204081632653,50778.646,28855.134,5.5488536,4438,56864000,5070000,45462000,28375000,5232000,1861000,92000,89000,6332000,5358000,54946000,29451000,20741000,1093000,0.47244094488188976,0.0013123359580052493,0.8980752405949256,0.003937007874015748,0.09273840769903761,0.40726159230096237,0.07327209098862641,0.8381452318460193,0.01990376202974628,0.1447944006999125,30578000,18932000,47927.725720801915,27235.08909609338,53671423.12907831,4785349.522798731,42909577.91035028,26781911.777004734,4938254.182107093,1756515.8702028478,86834.74479240301,84003.17702743334,5976495.695929303,5057180.028235819,51861107.47134104,27797500.748707186,19576515.671078596,1031634.5223706141,28861226.372414123,17869080.30880189
2023,1147,100192,5306480,Othello School District,Adams,338,49,0.14499999582767487,0.6094674556213,0.2130177514792,0.085798816568,0.0591715976331,0.1498470948012,0.0325443786982,84,0.24899999797344208,0.4319526627218,0.2899408284023,0.189349112426,0.0591715976331,0.2560975609756,0.0295857988165,96032.66564417178,82847.32208588957,11.32914112583717,4751,84465000,13498000,64406000,41791000,6962000,3060000,136000,20000,6561000,4975000,80577000,43273000,30525000,1699000,0.4849056603773585,0.0031446540880503146,0.9088050314465409,0.005660377358490566,0.0790356394129979,0.41446540880503147,0.018448637316561847,0.829979035639413,0.03312368972746331,0.13689727463312368,45467000,28307000,74695.391298522125,64439.668520393556,65697918.34589747,10498910.813152479,50095780.843969375,32505555.029815916,5415129.432595018,2380105.7259035846,105782.476706826,15556.246574533232,5103226.688775627,3869616.3354151417,62673784.01180822,33658272.900988825,23742721.334381346,1321503.146506598,35364793.15021513,22017533.58926561
2024,1147,100192,5306480,Othello School District,Adams,367,39,0.10599999874830246,0.629427793,0.204359673,0.081743869,0.024523161,0.113043478,0.059945504,95,0.2590000033378601,0.400544959,0.307901907,0.223433243,0.035422343,0.267605634,0.032697548,103191.56697819315,86808.42367601246,11.531152672810347,4570,81378373,13859511,63921455,42016662.48,7071692.390000001,3043067.54,133399.12,118900.6,3550725,5324712.91,79415721,41503137,32554901,1465249,0.48591400127091716,0.0025418343571277273,0.9091294217326837,0.005295488244016098,0.07816140648167762,0.4238508790510485,0.021393772505825037,0.8305443761914848,0.03770387629739462,0.12899809362423215,47189904,29342882,77962.14501011532,65584.53479206303,61482083.297116555,10470983.60837594,48293226.76164695,31743961.537080515,5342726.384730809,2299064.5435124584,100784.21950758398,89830.4589264415,2682604.261640303,4022867.877511533,59999282.28624783,31355988.47774506,24595516.735280305,1107008.6283123002,35652391.434649765,22168807.863748543
2025,1147,100192,5306480,Othello School District,Adams,370,63,0.17000000178813934,0.56216216216,0.22972972973,0.1027027027,0.06756756757,0.17696629213,0.03783783784,120,0.32499998807907104,0.46341463415,0.17344173442,0.25203252033,0.07317073171,0.33802816901,0.0379403794,100816.28125,91663.925,11.794062499999995,4584,80235076,8816440,67569612,44140652.73,7110567.63,3282149.62,139190.32,132196.45,3738340,5534168.32,81567922,43967860,32147361,1904930,0.4875822542984504,0.0027594990447887924,0.9127573763532159,0.005518998089577585,0.07578008915304606,0.4563786881766079,0.022925068987476118,0.8316705582678837,0.041604754829123326,0.12226703459987263,48647484,30724432,74212.61462950136,67475.40632433827,59062432.18980816,6489934.522595982,49739164.28821789,32492700.68217416,5234212.2599587245,2416047.307888817,102460.41066226074,97312.10155341994,2751856.9653058904,4073797.3642224083,60043563.26637694,32365504.95422948,23664230.456312943,1402252.0393865057,35810257.41104524,22616787.71975454
2015,1158,100131,5304410,Lind School District,Adams,12,4,0.235,0.2941176470588,0.4705882352941,0.1764705882352,0.0588235294117,0.235294117647,0,11,0.647,0.1176470588235,0.235294117647,0.5294117647058,0.1176470588235,0.6470588235294,0,38830.05,22417.29,5.690244,180,4267000,251000,2946000,1670000,133000,22000,1000,3000,1070000,963000,5841000,1881000,1711000,1949000,0.5048076923076923,0.004807692307692308,0.2932692307692308,0.019230769230769232,0.6586538461538461,0.11057692307692307,0,0.6153846153846154,0.019230769230769232,0.125,1877000,1188000,38830.05,22417.29,4267000,251000.00000000003,2946000,1670000,133000,22000,1000.0000000000001,3000,1070000,962999.9999999999,5841000,1880999.9999999998,1711000,1949000.0000000002,1876999.9999999998,1188000
2017,1158,100131,5304410,Lind School District,Adams,19,5,0.385,0.3076923076923,0.2307692307692,0.3076923076923,0.076923076923,0.4166666666666,0.076923076923,7,0.538,0.2307692307692,0.1538461538461,0.4615384615384,0.076923076923,0.5833333333333,0.076923076923,38474.39,23640.293,4.8682927,204,4860000,268000,3211000,1838000,167000,11000,0,3000,1381000,1306000,4360000,1783000,1828000,463000,0.48936170212765956,0,0.3276595744680851,0.01276595744680851,0.6382978723404256,0.1574468085106383,0,0.7021276595744681,0.00851063829787234,0.12340425531914893,1828000,1089000,37199.985966859225,22857.24524423754,4699020.096197388,259122.91888495887,3104640.6438044882,1777119.122800576,161468.3860215975,10635.642193039355,0,2900.6296890107333,1335256.5335079408,1262740.7912826727,4215581.8146955995,1723940.9118353792,1767450.3571705401,447663.8486706565,1767450.3571705401,1052928.5771108964
