year,districtid,enrollment,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,districtnumber,nces_lea
2015,1109,51,0.39215686274509803,0,0.11764705882352941,0.0196078431372549,0.8627450980392157,0.0196078431372549,0,0.5686274509803921,0,0.27450980392156865,100287,5309570
2016,1109,46,0.391304347826087,0,0.10869565217391304,0.021739130434782608,0.8695652173913043,0,0,0.5869565217391305,0,0.21739130434782608,100287,5309570
2017,1109,52,0.4230769230769231,0,0.09615384615384616,0,0.9038461538461539,0,0,0.7115384615384616,0,0.15384615384615385,100287,5309570
2018,1109,51,0.43137254901960786,0,0.09803921568627451,0,0.9019607843137255,0,0.17647058823529413,0.7843137254901961,0,0.13725490196078433,100287,5309570
2019,1109,57,0.42105263157894735,0,0.07017543859649122,0.03508771929824561,0.8947368421052632,0,0.08771929824561403,0.7368421052631579,0,0.08771929824561403,100287,5309570
2020,1109,61,0.47540983606557374,0,0.06557377049180328,0.04918032786885246,0.8852459016393442,0,0.36065573770491804,0.8032786885245902,0,0.08196721311475409,100287,5309570
2021,1109,62,0.41935483870967744,0,0.06451612903225806,0.03225806451612903,0.9032258064516129,0,0.1774193548387097,0.7096774193548387,0,0.0967741935483871,100287,5309570
2022,1109,91,0.46153846153846156,0,0.13186813186813187,0.054945054945054944,0.8131868131868132,0.02197802197802198,0.14285714285714285,0.7912087912087912,0,0.13186813186813187,100287,5309570
2023,1109,73,0.5068493150684932,0.0273972602739726,0.0410958904109589,0.0547945205479452,0.863013698630137,0,0,0.7534246575342466,0.0136986301369863,0.1917808219178082,100287,5309570
2024,1109,79,0.5316455696202531,0,0.06329113924050633,0.0379746835443038,0.8860759493670886,0,0,0.759493670886076,0.02531645569620253,0.21518987341772153,100287,5309570
2025,1109,71,0.5070422535211268,0,0.11267605633802817,0.04225352112676056,0.8450704225352113,0,0.22535211267605634,0.7464788732394366,0.014084507042253521,0.22535211267605634,100287,5309570
2015,1122,14,0.42857142857142855,0,0,0,0.9285714285714286,0,0,0,0,0.07142857142857142,100021,5300450
2016,1122,13,0.5384615384615384,0,0,0,1,0,0,0,0,0.15384615384615385,100021,5300450
2017,1122,13,0.38461538461538464,0,0,0,1,0,0,0,0,0.07692307692307693,100021,5300450
2018,1122,14,0.35714285714285715,0,0,0,1,0,0,0.07142857142857142,0,0,100021,5300450
2019,1122,14,0.5,0,0,0.14285714285714285,0.8571428571428571,0,0,0.21428571428571427,0,0.07142857142857142,100021,5300450
2020,1122,18,0.6111111111111112,0,0.05555555555555555,0,0.9444444444444444,0,0,0.16666666666666666,0,0.05555555555555555,100021,5300450
2021,1122,18,0.5,0,0.1111111111111111,0.05555555555555555,0.8333333333333334,0,0,0.05555555555555555,0,0.05555555555555555,100021,5300450
2022,1122,12,0.4166666666666667,0,0,0,1,0,0.08333333333333333,0.16666666666666666,0,0,100021,5300450
2024,1122,11,0.45454545454545453,0,0,0,1,0,0,0,0,0,100021,5300450
2025,1122,14,0.42857142857142855,0,0.14285714285714285,0,0.8571428571428571,0,0,0,0,0,100021,5300450
2015,1147,4200,0.47904761904761906,9.523809523809524e-4,0.8807142857142857,0.005,0.11142857142857143,0.38904761904761903,0.018095238095238095,0.8307142857142857,0.015,0.12833333333333333,100192,5306480
2016,1147,4381,0.47957087422962796,9.130335539831089e-4,0.8860990641406071,0.0038803926044282126,0.10705318420451952,0.39716959598265233,0.015749828806208628,0.8363387354485278,0.015293312029217073,0.13079205660808035,100192,5306480
2017,1147,4452,0.4766397124887691,8.984725965858042e-4,0.8897124887690926,0.0038185085354896678,0.10354896675651393,0.4371069182389937,0.01549865229110512,0.8414195867026055,0.018418688230008983,0.13319856244384545,100192,5306480
2018,1147,4572,0.47244094488188976,0.0013123359580052493,0.8980752405949256,0.003937007874015748,0.09273840769903761,0.40726159230096237,0.07327209098862641,0.8381452318460193,0.01990376202974628,0.1447944006999125,100192,5306480
2019,1147,4710,0.4762208067940552,0.00148619957537155,0.8974522292993631,0.003821656050955414,0.09256900212314224,0.39787685774946924,0.049469214437367307,0.8545647558386412,0.022292993630573247,0.1397027600849257,100192,5306480
2020,1147,4807,0.47763677969627627,8.321198252548367e-4,0.8982733513625962,0.004160599126274184,0.09236530060328688,0.39068025795714584,0.04493447056376118,0.8289993759101311,0.023715415019762844,0.1358435614728521,100192,5306480
2021,1147,4695,0.4802981895633653,8.519701810436634e-4,0.9111821086261981,0.004685835995740149,0.07902023429179979,0.38466453674121404,0.02896698615548456,0.8027689030883919,0.02406815761448349,0.14164004259850904,100192,5306480
2022,1147,4716,0.48346055979643765,0.002332485156912638,0.910941475826972,0.004240882103477523,0.07909245122985581,0.4120016963528414,0.01378286683630195,0.8452078032230704,0.02544529262086514,0.1388888888888889,100192,5306480
2023,1147,4770,0.4849056603773585,0.0031446540880503146,0.9088050314465409,0.005660377358490566,0.0790356394129979,0.41446540880503147,0.018448637316561847,0.829979035639413,0.03312368972746331,0.13689727463312368,100192,5306480
