year,districtid,meantotalsalary,meancertbasesalary,meanexperience,districtfte,districtccddd,districtnumber,nces_lea,name,meantotalsalary_cpi_adjusted,meancertbasesalary_cpi_adjusted
2015,1109,35633.69,24552.31,7.282759,12.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,35633.69,24552.31
2016,1109,43800.42,31384.25,9.2,13.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,43252.25794862964,30991.476258087925
2017,1109,41551.12,29975.32,9.3920001,12.524,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,40174.804094549225,28982.434376532405
2018,1109,44956.292,32364.625,10.0625,12.5,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,42432.262419921186,30547.542958443766
2019,1109,51534.952,37071.429,9.6333332,11,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,47775.28022957979,34366.92652757241
2021,1109,51050.958,37952.042,6.5041667,12.423,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,44650.750372535935,33194.0323915175
2022,1109,52236.917,37730.083,7.6708334,11.42,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,42307.32441940535,30558.06034364721
2023,1109,79402.76923076923,75647.46153846153,15.246153758122372,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,61760.45284273033,58839.52822149133
2024,1109,86085.08333333333,80347.66666666667,16.79166654745738,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,65038.044741189646,60703.37551143908
2025,1109,89854.23076923077,84352.53846153847,16.492307692307694,,1109,100287,5309570,WASHTUCNA SCHOOL DISTRICT,66143.25898781558,62093.36777998193
2015,1122,22423.14,14255.29,8.685714,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,22423.140000000003,14255.29
2016,1122,23135,15335.14,2.685714,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,22845.465583242047,15143.220794648732
2017,1122,28183.429,20246.286,6.5285715,2.25,1122,100021,5300450,BENGE SCHOOL DISTRICT,27249.896965175365,19575.659421267457
2018,1122,34073.667,21584.667,7.9500001,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,32160.63237050353,20372.815764934818
2019,1122,40761.8,31167.2,9.9400002,2.125,1122,100021,5300450,BENGE SCHOOL DISTRICT,37788.0708545549,28893.43360543655
2021,1122,48638,29004,4.55,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,42540.3025075338,25367.797481979323
2022,1122,45280,30175.75,4.55,2,1122,100021,5300450,BENGE SCHOOL DISTRICT,36672.831394522655,24439.712719815965
2023,1122,72640.5,66690,8.5,,1122,100021,5300450,BENGE SCHOOL DISTRICT,56500.676464869066,51872.304202781066
2024,1122,75213.5,70000,12,,1122,100021,5300450,BENGE SCHOOL DISTRICT,56824.46701247856,52885.621475845415
2025,1122,79328,73490.5,13,,1122,100021,5300450,BENGE SCHOOL DISTRICT,58394.71780089175,54097.63272169266
2015,1147,42865.14,27105.66,5.98083,263.137,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,42865.14,27105.66
2016,1147,44773.39,27572.61,6.091569,260.04,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,44213.051233631886,27227.538914854358
2017,1147,49368.325,29391.54,6.1148289,276.355,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,47733.0763972436,28417.991176582178
2018,1147,50778.646,28855.134,5.5488536,290.54,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,47927.725720801915,27235.08909609338
2019,1147,56781.677,34203.094,5.2909864,292.128,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,52639.2365822032,31707.84753168411
2021,1147,62399.142,38367.482,5.6869205,309.4,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,54576.22387619881,33557.38909355562
2022,1147,65272.01,39987.273,5.7925566,318.622,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,52864.607277199575,32386.18641024179
2023,1147,96032.66564417178,82847.32208588957,11.32914112583717,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,74695.391298522125,64439.668520393556
2024,1147,103191.56697819315,86808.42367601246,11.531152672810347,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,77962.14501011532,65584.53479206303
2025,1147,100816.28125,91663.925,11.794062499999995,,1147,100192,5306480,OTHELLO SCHOOL DISTRICT,74212.61462950136,67475.40632433827
2015,1158,38830.05,22417.29,5.690244,17.777,1158,100131,5304410,LIND SCHOOL DISTRICT,38830.05,22417.29
2016,1158,42752.9,24743.88,6.539024,18.5,1158,100131,5304410,LIND SCHOOL DISTRICT,42217.84765652859,24434.210457569538
2017,1158,38474.39,23640.293,4.8682927,18.1,1158,100131,5304410,LIND SCHOOL DISTRICT,37199.985966859225,22857.24524423754
2018,1158,39077.698,21731.698,5.0372093,17.637,1158,100131,5304410,LIND SCHOOL DISTRICT,36883.716662006496,20511.5918449519
2019,1158,44157.84,24961.46,5.4059999,19,1158,100131,5304410,LIND SCHOOL DISTRICT,40936.35675323706,23140.42606345004
2021,1158,48049.898,29915.898,5.6938775,19.602,1158,100131,5304410,LIND SCHOOL DISTRICT,42025.93026802384,26165.371740296177
2022,1158,49689.404,28480.351,5.0122806,20.618,1158,100131,5304410,LIND SCHOOL DISTRICT,40244.062168425786,23066.58812455443
2023,1158,88085.86363636363,81077.36363636363,12.86818170005625,,1158,100131,5304410,LIND SCHOOL DISTRICT,68514.27072289916,63062.973017018354
2024,1158,85882.5,81466.09090909091,10.822727211497046,,1158,100131,5304410,LIND SCHOOL DISTRICT,64884.99123427563,61548.354956214185
2025,1158,92139.95454545454,83616.09090909091,11.704545454545455,,1158,100131,5304410,LIND SCHOOL DISTRICT,67825.81993582103,61551.25595313223
2015,1160,44094.45,27504.88,7.62549,23.3,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,44094.45,27504.88
2016,1160,44189.25,25197.46,6.803279,26.044,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,43636.22174299887,24882.113905991708
2017,1160,41722.132,24104.382,5.6382353,26.333,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,40340.15158934159,23305.96202148531
2018,1160,46948.033,28503.508,6.4,28,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,44312.17895717734,26903.204813784974
2019,1160,55309.113,34476.774,6.5358491,27.5,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,51274.10175572677,31961.56152938477
2021,1160,59229.431,40840.059,7.4607843,27,1160,100220,5307380,RITZVILLE SCHOOL DISTRICT,51803.89637915005,35719.98158406038
